number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.524348403434013,2026-08-02 17:30:37.746404,2026-08-02 17:30:44.701836,0 days 00:00:06.955432,0.6624074561769746,0.17425083650459838,0.07441632389160634,8,3,300,1.1752647960576206,1.5930522616241019,0.8394633936788146,COMPLETE
1,0.5066674458231394,2026-08-02 17:30:44.703838,2026-08-02 17:30:46.277587,0 days 00:00:01.573749,0.6849356442713105,0.5502135295603015,0.17898794163735265,2,3,450,0.0026892128247368906,1.1207606211860568,0.9329770563201687,COMPLETE
2,0.5208427736224704,2026-08-02 17:30:46.280414,2026-08-02 17:30:48.264073,0 days 00:00:01.983659,0.7168578594140873,1.3682099526511078,0.04777437867054351,4,6,300,0.48923586931905244,0.2508115686045233,0.6557975442608167,COMPLETE
3,0.5326029462267529,2026-08-02 17:30:48.268079,2026-08-02 17:30:52.163344,0 days 00:00:03.895265,0.6682096494749166,2.84665661176,0.005934530307791968,6,1,350,3.447275228705856,4.138040112561017,0.8430179407605753,COMPLETE
4,0.5137463281279545,2026-08-02 17:30:52.165346,2026-08-02 17:30:53.086734,0 days 00:00:00.921388,0.6488152939379115,0.10316556334565519,0.062395369491878315,2,8,250,1.8744302901656154,0.3292759134423616,0.7760609974958406,COMPLETE
5,0.5313356788932292,2026-08-02 17:30:53.088736,2026-08-02 17:30:55.465137,0 days 00:00:02.376401,0.6739417822102108,2.3253984700833437,0.03405259191324469,4,15,450,2.5982285195767814,6.161049539380966,0.8186841117373118,COMPLETE
6,0.5334519741911713,2026-08-02 17:30:55.467140,2026-08-02 17:31:02.052847,0 days 00:00:06.585707,0.6180909155642152,1.166031869068446,0.006930112765148064,8,5,400,0.001883913511943895,4.544383960336017,0.6783931449676581,COMPLETE
7,0.5151113642592309,2026-08-02 17:31:02.056853,2026-08-02 17:31:02.875626,0 days 00:00:00.818773,0.9208787923016158,2.960660809801552,0.037017039861413845,3,2,250,0.425358393373768,0.24970737145052724,0.6563696899899051,PRUNED
8,0.531875412376004,2026-08-02 17:31:02.877629,2026-08-02 17:31:05.044622,0 days 00:00:02.166993,0.9085081386743783,1.0753971856328177,0.0678262606477337,7,2,100,0.0003503202443763074,5.323617594751501,0.8916028672163949,COMPLETE
9,0.5125230384648924,2026-08-02 17:31:05.046626,2026-08-02 17:31:06.513385,0 days 00:00:01.466759,0.7300733288106989,1.9126724140656393,0.006321123775566325,4,11,400,1.475659183168782,0.8798929749689022,0.7243929286862649,PRUNED
10,0.5156257556809691,2026-08-02 17:31:06.515388,2026-08-02 17:31:09.813667,0 days 00:00:03.298279,0.8262452362725613,1.2682539750584232,0.014160891937769319,6,14,600,0.02105676190760417,0.14428528534640317,0.9729161367647149,PRUNED
11,0.5332534341531346,2026-08-02 17:31:09.815670,2026-08-02 17:31:16.282557,0 days 00:00:06.466887,0.6125516819803676,2.8066856282442743,0.0050988924178584985,6,6,550,0.04270136725001099,2.841880719237088,0.7208597608175495,COMPLETE
12,0.518782554625997,2026-08-02 17:31:16.284561,2026-08-02 17:31:22.292592,0 days 00:00:06.008031,0.6080041637319256,2.10348778618128,0.011467708622635665,8,6,600,0.016929342814490524,2.3287067310315512,0.6092593558440182,PRUNED
13,0.531421296509026,2026-08-02 17:31:22.294597,2026-08-02 17:31:29.199708,0 days 00:00:06.905111,0.6010500137420378,1.6664757154928405,0.011715312737669,6,6,550,0.054139847832590654,9.853028641811873,0.7149808788099393,COMPLETE
14,0.5327065165233913,2026-08-02 17:31:29.203715,2026-08-02 17:31:36.659285,0 days 00:00:07.455570,0.7653656398770851,2.5586053214828324,0.005260304537253061,7,9,500,0.0003316826377390131,2.8062449195582837,0.7253815927393559,COMPLETE
15,0.5234310953921474,2026-08-02 17:31:36.661289,2026-08-02 17:31:39.930389,0 days 00:00:03.269100,0.7811548765869797,0.7885058597454426,0.009140722109475767,5,5,500,0.002208020952422053,0.6824077790328431,0.6783567406052917,PRUNED
16,0.5241198335567726,2026-08-02 17:31:39.934630,2026-08-02 17:31:41.265422,0 days 00:00:01.330792,0.6012547307601767,0.6641327069842661,0.018886273507705106,7,9,150,0.002298481542576101,2.793566293521873,0.6035311009742184,PRUNED
17,0.5214057474983806,2026-08-02 17:31:41.267427,2026-08-02 17:31:46.542639,0 days 00:00:05.275212,0.8505915654206465,1.6438704953235532,0.02127127785068449,8,4,400,0.09432495229666046,9.881109138871407,0.775874024297308,PRUNED
18,0.5167730941507964,2026-08-02 17:31:46.544642,2026-08-02 17:31:49.450423,0 days 00:00:02.905781,0.6390797754821066,2.571665564161977,0.008595497718826749,5,12,550,0.008480572253404007,1.5471173055897476,0.7730982444721965,PRUNED
19,0.5308190555316085,2026-08-02 17:31:49.453583,2026-08-02 17:31:57.114043,0 days 00:00:07.660460,0.713268697449084,1.897891178286955,0.008071770629319892,7,8,500,0.11819010761995749,0.5251121701167344,0.6873064153189612,PRUNED
20,0.5329434015352308,2026-08-02 17:31:57.116048,2026-08-02 17:32:01.732034,0 days 00:00:04.615986,0.9712411472931488,0.9583639870471141,0.02076162827623616,5,7,400,0.00011339830161595191,4.046908714816715,0.7492798057057707,COMPLETE
21,0.5318784723530015,2026-08-02 17:32:01.736066,2026-08-02 17:32:06.405087,0 days 00:00:04.669021,0.9893716564113967,0.8988014092973001,0.016516137422840096,5,7,400,0.00012066091584656708,4.200419907981292,0.7460239737779165,COMPLETE
22,0.5141427491671742,2026-08-02 17:32:06.407092,2026-08-02 17:32:09.870819,0 days 00:00:03.463727,0.9819856814030353,0.4103353644029184,0.02492606734539387,6,5,350,0.000849097135347697,2.01480122715957,0.6375992242962369,PRUNED
23,0.5105868379554344,2026-08-02 17:32:09.872919,2026-08-02 17:32:12.461132,0 days 00:00:02.588213,0.9370832082944408,1.2762343861440102,0.1073960540728885,5,10,450,0.00011685212098930065,3.6589483842629007,0.6916664320892167,PRUNED
24,0.4762775759033198,2026-08-02 17:32:12.465140,2026-08-02 17:32:13.371489,0 days 00:00:00.906349,0.8576507228937194,1.032688997908845,0.0051974130935105965,3,7,200,0.006795929710905168,6.90568271846109,0.752199988474119,PRUNED
25,0.5333186612154693,2026-08-02 17:32:13.375651,2026-08-02 17:32:21.690883,0 days 00:00:08.315232,0.7787023279322706,1.4775047992046422,0.007458424047512461,6,4,550,0.0006707023691070864,3.294193803091829,0.7012680347009934,COMPLETE
26,0.5261176745372205,2026-08-02 17:32:21.692887,2026-08-02 17:32:31.408290,0 days 00:00:09.715403,0.7785755689196121,1.5919670500939698,0.007787046303916509,7,4,550,0.0007433497302621169,1.3842018106753047,0.6293375405306042,PRUNED
27,0.5144121920139981,2026-08-02 17:32:31.410033,2026-08-02 17:32:38.163061,0 days 00:00:06.753028,0.7488621218277183,2.187662600934346,0.0104904090708763,8,5,600,0.004804945466771273,2.167171596949327,0.8022304054975694,PRUNED
28,0.5362200134327729,2026-08-02 17:32:38.165064,2026-08-02 17:32:45.136740,0 days 00:00:06.971676,0.6311156129225818,2.6408662053243432,0.007013092978004354,6,4,550,0.0010252830670353158,7.410865320511696,0.6901943333806104,COMPLETE
29,0.5172513328939383,2026-08-02 17:32:45.139585,2026-08-02 17:32:52.123359,0 days 00:00:06.983774,0.638599918181026,0.31080399984500096,0.013949491564349072,8,3,500,0.0008937034461295357,7.238920557392027,0.6714107176085895,PRUNED
