number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5067742251403575,2026-08-14 23:52:04.622367,2026-08-14 23:52:13.116883,0 days 00:00:08.494516,0.6624074561769746,0.17425083650459838,0.07441632389160634,8,3,300,1.1752647960576206,1.5930522616241019,0.8394633936788146,COMPLETE
1,0.4972200496659334,2026-08-14 23:52:13.118053,2026-08-14 23:52:15.613675,0 days 00:00:02.495622,0.6849356442713105,0.5502135295603015,0.17898794163735265,2,3,450,0.0026892128247368906,1.1207606211860568,0.9329770563201687,COMPLETE
2,0.5000439047134139,2026-08-14 23:52:15.617686,2026-08-14 23:52:18.672737,0 days 00:00:03.055051,0.7168578594140873,1.3682099526511078,0.04777437867054351,4,6,300,0.48923586931905244,0.2508115686045233,0.6557975442608167,COMPLETE
3,0.49450442413400203,2026-08-14 23:52:18.677783,2026-08-14 23:52:24.537936,0 days 00:00:05.860153,0.6682096494749166,2.84665661176,0.005934530307791968,6,1,350,3.447275228705856,4.138040112561017,0.8430179407605753,COMPLETE
4,0.4904892238334891,2026-08-14 23:52:24.542440,2026-08-14 23:52:26.021425,0 days 00:00:01.478985,0.6488152939379115,0.10316556334565519,0.062395369491878315,2,8,250,1.8744302901656154,0.3292759134423616,0.7760609974958406,COMPLETE
5,0.4932205764838404,2026-08-14 23:52:26.024466,2026-08-14 23:52:29.510407,0 days 00:00:03.485941,0.6739417822102108,2.3253984700833437,0.03405259191324469,4,15,450,2.5982285195767814,6.161049539380966,0.8186841117373118,COMPLETE
6,0.500080342117547,2026-08-14 23:52:29.517695,2026-08-14 23:52:39.214445,0 days 00:00:09.696750,0.6180909155642152,1.166031869068446,0.006930112765148064,8,5,400,0.001883913511943895,4.544383960336017,0.6783931449676581,COMPLETE
7,0.49203133966753154,2026-08-14 23:52:39.216187,2026-08-14 23:52:40.876572,0 days 00:00:01.660385,0.9208787923016158,2.960660809801552,0.037017039861413845,3,2,250,0.425358393373768,0.24970737145052724,0.6563696899899051,COMPLETE
8,0.5078148557875918,2026-08-14 23:52:40.881596,2026-08-14 23:52:44.058321,0 days 00:00:03.176725,0.9085081386743783,1.0753971856328177,0.0678262606477337,7,2,100,0.0003503202443763074,5.323617594751501,0.8916028672163949,COMPLETE
9,0.4855725003710461,2026-08-14 23:52:44.060064,2026-08-14 23:52:47.948172,0 days 00:00:03.888108,0.7300733288106989,1.9126724140656393,0.006321123775566325,4,11,400,1.475659183168782,0.8798929749689022,0.7243929286862649,PRUNED
10,0.46825016545654685,2026-08-14 23:52:47.952685,2026-08-14 23:52:49.165045,0 days 00:00:01.212360,0.9900583234133905,1.0839359893254281,0.015556596598184447,6,14,100,0.00011891170975359302,0.14412798994325635,0.9729161367647149,PRUNED
11,0.508607434727694,2026-08-14 23:52:49.170111,2026-08-14 23:53:00.376852,0 days 00:00:11.206741,0.8151392065768135,0.1236335215468819,0.12371540031995637,8,4,600,0.029878661840182,1.525342151796964,0.8794972169146561,COMPLETE
12,0.5066838500147585,2026-08-14 23:53:00.380864,2026-08-14 23:53:06.362252,0 days 00:00:05.981388,0.839001317925464,0.7966908964680817,0.14639170912376914,7,6,600,0.016929342814490524,9.678871844018742,0.9015045323708959,COMPLETE
13,0.5050313978531905,2026-08-14 23:53:06.366030,2026-08-14 23:53:10.973831,0 days 00:00:04.607801,0.8224186197005919,1.6664757154928405,0.109329440477294,7,9,600,0.04210144768742847,2.3496826834476456,0.9028401883173586,COMPLETE
14,0.4986073766071743,2026-08-14 23:53:10.977846,2026-08-14 23:53:13.088470,0 days 00:00:02.110624,0.8341252891486154,0.4922258158023306,0.09420207947821173,6,4,100,0.0002584987845310598,0.7279069886155736,0.9984067957444853,COMPLETE
15,0.5000671614307924,2026-08-14 23:53:13.092484,2026-08-14 23:53:25.578376,0 days 00:00:12.485892,0.912415457654784,0.8343033023494097,0.022457671861152658,7,8,550,0.07292799254019112,2.5805317180023026,0.8967327309632467,COMPLETE
